  id req                time  stage num
     349             4.39891    stage 1
     202              7.6187    stage 3
     346             4.34901    stage 2
     350              3.5185    stage 1
     347             4.28815    stage 2
     351             5.89487    stage 1
     203              10.202    stage 3
     348             5.28233    stage 2
     352             4.18824    stage 1
     349             5.31405    stage 2
     353             3.76198    stage 1
     204             8.48087    stage 3
     350             4.44657    stage 2
     354             4.24245    stage 1
     355             2.52906    stage 1
     351             4.76056    stage 2
     205             8.82296    stage 3
     352             4.44812    stage 2
     356             5.68192    stage 1
     206              8.3952    stage 3
     353             5.28921    stage 2
     357             5.92954    stage 1
     354             5.25026    stage 2
     358             4.38269    stage 1
     207             7.68909    stage 3
     359             3.35489    stage 1
     355             4.36883    stage 2
     360             4.54515    stage 1
     208             7.50737    stage 3
     356             6.09269    stage 2
     361             4.68449    stage 1
     357             5.48576    stage 2
     362             4.49233    stage 1
     209             9.49911    stage 3
     358             4.32955    stage 2
     363             3.25416    stage 1
     364             2.47384    stage 1
     359             4.56477    stage 2
     210             7.95427    stage 3
     365             4.71743    stage 1
     360             4.94951    stage 2
     366             4.77932    stage 1
     211             8.17002    stage 3
     361             4.56585    stage 2
     367             5.02263    stage 1
     362             5.32855    stage 2
     212              7.9771    stage 3
     368             3.80429    stage 1
     363             4.03482    stage 2
     369             2.76994    stage 1
     364             2.43765    stage 2
     370             2.65477    stage 1
     213             8.40874    stage 3
     365              3.1406    stage 2
     371             4.19475    stage 1
     366             3.77977    stage 2
     372             4.74768    stage 1
     214             8.45025    stage 3
     367             4.14966    stage 2
     373             3.30185    stage 1
     368             4.46949    stage 2
     374             3.49841    stage 1
     215             7.55722    stage 3
     369             5.16867    stage 2
     375             5.61557    stage 1
     370             5.80001    stage 2
     216             9.74213    stage 3
     376              5.6247    stage 1
     377             4.04631    stage 1
     371              6.2452    stage 2
     217             7.83601    stage 3
     372             3.00708    stage 2
     378              4.6877    stage 1
     373             4.86504    stage 2
     379             4.67978    stage 1
     218             8.27819    stage 3
     374             4.21476    stage 2
     380             4.24175    stage 1
     219             9.01317    stage 3
     381             4.89879    stage 1
